event_id,strike,dip,rake,quality,fault_plane_uncertainty,aux_plane_uncertainty,num_p_pol,num_sp_ratios,polarity_misfit,prob_mech,sta_distribution_ratio,sp_misfit,mult_solution_flag,time,magnitude,origin_lat,origin_lon,origin_depth_km,horz_uncert_km,vert_uncert_km
1456,273.3,43.6,138.0,A,12.7,11.6,30,23,11.8,100.0,50.1,-57.6,False,2015-02-25 23:55:20,1.0,45.933,-130.012,0.9,0.3,0.2
1457,59.2,89.0,-135.2,A,8.8,11.5,32,23,0.0,98.6,51.7,-64.4,False,2015-03-20 05:29:35,1.0,45.933,-130.011,0.8,0.3,0.2
1458,349.0,54.7,-125.2,B,13.6,14.4,33,30,0.0,100.0,49.0,-81.2,False,2015-03-20 20:36:15,1.0,45.964,-129.994,1.7,0.3,0.2
1459,302.4,57.9,137.7,D,39.3,39.8,32,31,0.0,44.6,27.2,-161.9,False,2015-03-13 14:15:48,1.0,45.98,-129.998,2.2,0.3,0.2
1460,358.7,48.5,135.8,A,12.1,11.6,31,28,0.0,100.0,88.6,-12.6,False,2015-03-28 00:00:07,1.0,45.977,-130.016,1.0,0.3,0.2
1461,74.9,47.8,-171.9,A,13.5,11.9,31,26,0.0,100.0,66.4,-51.9,False,2015-03-26 10:00:39,1.0,45.946,-130.017,0.5,0.3,0.2
146,15.2,34.8,-125.0,A,13.6,15.9,42,36,0.0,100.0,53.0,-79.5,False,2015-03-02 21:11:25,1.0,45.932167,-129.977833,1.55,0.3,0.2
1462,168.6,43.9,-76.0,D,11.5,10.5,31,25,4.0,100.0,29.4,-174.9,False,2015-03-27 15:57:06,1.0,45.972,-130.002,2.1,0.3,0.2
1464,343.3,41.2,155.6,A,15.4,17.0,27,25,12.0,100.0,76.7,-14.2,False,2015-04-02 18:28:24,1.0,45.946,-129.991,0.4,0.3,0.2
1466,344.7,47.3,-131.4,A,18.4,16.2,26,25,4.5,100.0,63.7,-49.7,False,2015-02-25 21:06:42,1.0,45.927,-129.992,0.8,0.3,0.2
1465,187.5,35.5,-132.6,C,22.2,41.9,25,25,26.2,51.8,49.3,-62.2,False,2015-03-01 18:39:08,1.0,45.937,-129.982,1.1,0.3,0.2
1468,92.1,76.2,172.5,A,23.0,18.1,25,24,0.0,89.1,76.9,-9.1,False,2015-03-15 18:42:40,1.0,45.924,-129.987,0.6,0.3,0.2
1467,20.6,88.4,-63.5,C,31.6,39.4,26,24,27.7,61.4,74.6,-20.8,False,2015-03-09 01:33:33,1.0,45.943,-129.989,0.4,0.3,0.2
1463,145.4,47.9,-136.8,A,11.1,10.6,46,44,0.0,100.0,83.1,-16.7,False,2015-02-27 10:48:28,1.0,45.965,-129.999,1.0,0.3,0.2
1469,13.9,29.0,-157.0,A,13.3,10.1,25,25,4.0,100.0,57.2,-52.0,False,2015-03-01 21:35:39,1.0,45.937,-130.016,0.8,0.3,0.2
1472,344.7,90.0,-159.3,B,22.4,29.5,26,21,8.7,83.2,70.0,-43.9,False,2015-03-17 03:05:03,1.0,45.949,-129.996,0.1,0.3,0.2
1470,283.1,84.6,-110.5,A,19.4,23.7,26,26,10.6,91.6,66.0,-46.1,False,2015-02-14 07:34:08,1.0,45.945,-130.013,0.2,0.3,0.2
1471,344.6,57.8,-123.4,C,9.9,10.7,28,28,0.0,100.0,33.2,-118.5,False,2015-04-04 09:11:21,1.0,45.95,-129.986,1.6,0.3,0.2
1473,154.8,41.0,-119.1,A,13.1,12.5,26,22,12.4,100.0,71.7,-48.2,False,2015-03-30 17:36:56,1.0,45.971,-130.0,1.4,0.3,0.2
147,215.7,44.4,-65.3,B,17.3,24.1,46,41,0.0,85.0,44.9,-86.4,False,2015-03-10 22:24:34,1.0,45.937167,-129.980167,1.46,0.3,0.2
1474,65.4,46.5,117.9,A,21.1,21.0,26,26,0.0,100.0,54.4,-63.4,False,2015-03-03 15:28:03,1.0,45.928,-129.974,1.5,0.3,0.2
1475,319.8,33.2,177.9,B,10.4,17.8,25,20,18.5,98.3,56.9,-51.2,False,2015-04-04 06:25:21,1.0,45.938,-130.017,0.9,0.3,0.2
1476,44.3,21.1,-141.0,B,13.3,9.4,27,27,0.0,100.0,45.4,-81.1,False,2015-03-29 03:08:06,1.0,45.938,-130.021,1.2,0.3,0.2
1477,8.2,42.5,-171.8,A,11.3,13.0,25,22,5.3,100.0,50.8,-77.2,False,2015-03-19 05:39:16,1.0,45.94,-130.01,0.4,0.3,0.2
1478,71.0,38.6,144.2,B,22.4,27.2,27,26,0.0,80.5,49.2,-77.5,False,2015-03-03 19:15:04,1.0,45.942,-129.984,1.5,0.3,0.2
1479,208.9,31.3,-45.4,B,19.2,20.7,28,26,0.0,93.8,46.8,-96.6,False,2015-02-11 22:35:24,1.0,45.938,-129.982,1.5,0.3,0.2
1480,141.5,16.3,63.1,A,13.7,11.2,27,25,14.5,100.0,71.1,-32.9,False,2015-03-30 17:49:14,1.0,45.944,-129.986,0.4,0.3,0.2
1481,96.8,71.8,139.7,A,13.0,11.3,25,20,0.0,100.0,50.0,-67.4,False,2015-03-22 20:18:43,1.0,45.944,-129.985,1.5,0.3,0.2
148,223.4,78.4,-137.9,A,11.6,9.7,37,35,0.0,100.0,71.9,-20.4,False,2015-03-09 20:42:47,1.0,45.9435,-129.9895,0.49,0.3,0.2
1482,49.8,49.1,107.3,D,49.6,56.5,28,28,9.5,27.0,45.9,-89.8,False,2015-03-29 19:51:35,1.0,45.946,-129.985,1.5,0.3,0.2
1483,46.6,36.5,111.2,C,16.9,35.1,26,22,15.1,74.6,36.4,-116.2,False,2015-03-04 13:33:55,1.0,45.941,-129.988,1.2,0.3,0.2
1484,24.4,29.8,128.3,B,14.2,14.9,25,20,18.5,100.0,53.9,-83.8,False,2015-03-27 06:35:48,1.0,45.973,-130.001,1.7,0.3,0.2
1485,52.3,45.2,95.9,B,26.1,24.1,27,24,0.0,94.3,47.8,-78.5,False,2015-03-06 03:29:59,1.0,45.947,-129.984,1.5,0.3,0.2
1486,25.9,86.7,151.4,B,12.6,12.1,24,24,16.4,96.4,72.3,-34.4,False,2015-04-01 00:22:56,1.0,45.949,-129.995,0.5,0.3,0.2
1487,0.3,79.7,-168.6,B,28.0,21.2,26,24,6.5,86.4,43.2,-90.0,False,2015-04-05 10:30:20,1.0,45.947,-129.986,1.6,0.3,0.2
1488,313.5,32.7,162.2,B,38.9,30.3,25,23,0.0,71.1,76.2,-21.3,False,2015-03-30 08:43:12,1.0,45.943,-129.988,0.4,0.3,0.2
