2022 9 6122929.5045N55.44129W59.76 1.08  0.30  0.20 1.00              1 
AEC2 OO  HHZ I U
AEC3 OO  HHZ I D
AID1 OO  HHZ I U
A01A OO  HHZ I D
A02A OO  HHZ I D
A03A OO  HHZ I U
A04A OO  HHZ I D
A05A OO  HHZ I U
A06A OO  HHZ I U
                                                                     57 
2022 914 72527.1745N59.70130W 1.14 1.21  0.30  0.20 1.00             58 
AAS1 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I U
AEC3 OO  HHZ I D
AID1 OO  HHZ I U
A01A OO  HHZ I D
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I D
A06A OO  HHZ I U
A07A OO  HHZ I U
A08A OO  HHZ I U
A10A OO  HHZ I U
A11A OO  HHZ I D
A12A OO  HHZ I D
A14A OO  HHZ I D
                                                                     58 
2022 91410 224.6245N55.98130W 0.42 1.48  0.30  0.20 1.00             59 
AAS2 OO  HHZ I D
ACC1 OO  HHZ I D
AEC2 OO  HHZ I D
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A01A OO  HHZ I U
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I U
A06A OO  HHZ I D
A13A OO  HHZ I U
                                                                     59 
2022 91414 0 2.9945N59.76130W 1.50 1.37  0.30  0.20 1.00             60 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I D
ACC1 OO  HHZ I D
AEC1 OO  HHZ I D
AEC2 OO  HHZ I U
AID1 OO  HHZ I D
A01A OO  HHZ I U
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I U
                                                                     60 
2022 914145731.3246N 0.60130W 1.74 1.31  0.30  0.20 1.00             61 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC2 OO  HHZ I D
AEC3 OO  HHZ I D
AID1 OO  HHZ I U
A01A OO  HHZ I U
A02A OO  HHZ I D
A03A OO  HHZ I U
A04A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I U
A07A OO  HHZ I D
                                                                     61 
2022 9141627 9.7245N55.56129W59.82 1.48  0.30  0.20 1.00             62 
AAS1 OO  HHZ I U
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC1 OO  HHZ I D
AEC2 OO  HHZ I U
AEC3 OO  HHZ I U
AID1 OO  HHZ I U
A12A OO  HHZ I U
A13A OO  HHZ I D
A14A OO  HHZ I D
                                                                     62 
2022 915 15734.5945N59.46130W 1.50 1.43  0.30  0.20 1.00             63 
AAS2 OO  HHZ I D
ACC1 OO  HHZ I D
AEC2 OO  HHZ I U
A01A OO  HHZ I D
A02A OO  HHZ I U
A03A OO  HHZ I U
A04A OO  HHZ I D
A06A OO  HHZ I U
A09A OO  HHZ I D
                                                                     63 
2022 915 22040.3445N55.14129W59.64 1.08  0.30  0.20 1.00             64 
AAS1 OO  HHZ I D
AAS2 OO  HHZ I U
ACC1 OO  HHZ I U
AEC1 OO  HHZ I D
AEC2 OO  HHZ I U
AEC3 OO  HHZ I U
AID1 OO  HHZ I D
A10A OO  HHZ I U
A11A OO  HHZ I D
A12A OO  HHZ I U
A14A OO  HHZ I U
                                                                     64 
2022 915 45938.6345N59.70130W 1.38 1.31  0.30  0.20 1.00             65 
AAS2 OO  HHZ I U
ACC1 OO  HHZ I D
AEC1 OO  HHZ I U
AEC2 OO  HHZ I U
AEC3 OO  HHZ I D
AID1 OO  HHZ I U
A01A OO  HHZ I U
A02A OO  HHZ I D
A03A OO  HHZ I U
A04A OO  HHZ I U
A05A OO  HHZ I U
A06A OO  HHZ I D
A08A OO  HHZ I U
                                                                     65 
2022 915 63448.2945N58.44129W59.94 1.31  0.30  0.20 1.00             66 
AAS1 OO  HHZ I U
ACC1 OO  HHZ I U
AEC2 OO  HHZ I D
AEC3 OO  HHZ I U
AID1 OO  HHZ I D
A03A OO  HHZ I D
A05A OO  HHZ I U
A06A OO  HHZ I U
A07A OO  HHZ I U
A11A OO  HHZ I U
                                                                     66 
2022 9151034 3.8945N56.88129W59.58 1.40  0.30  0.20 1.00             67 
